Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Fuselage,1939.458306,875.803137,3946.252815,351.520629
Horizontal Stabilizer,196.142543,93.096172,35.525238,3.326112
Vertical Stabilizer,325.274406,143.069428,140.818669,12.217914
Main Wing,1682.874019,780.923843,530.823315,48.590003
Fairing,537.362181,160.504011,130.295401,7.676933
Landing Fairing,537.362181,104.700902,130.295401,5.007861
,61685.353822,760.792173,804092.165781,804092.165781
Totals,66903.827458,2918.889667,809006.176620,2384.613392

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Fuselage_S_Surf0,0.000000,0.000000
Horizontal Stabilizer_S_Surf0,0.000000,0.000000
Vertical Stabilizer_S_Surf0,0.000000,0.000000
Main Wing_S_Surf0,0.000000,0.000000
Fairing_S_Surf0,0.000000,0.000000
Truss Brace_S_Surf0,0.000000,0.000000
Landing Fairing_S_Surf0,0.000000,0.000000
